SeasonID,Season,FinishPosition,TotalPlayed,TotalWin,TotalDraw,TotalLose,TotalGoalsFor,TotalGoalsAgainst,TotalGoalDifference,TotalPoints,TotalWin%,TotalDraw%,TotalLose%,TotalWinRank,TotalDrawRank,TotalLoseRank,HomePlayed,HomeWin,HomeDraw,HomeLose,HomeGoalsFor,HomeGoalsAgainst,HomeGoalDifference,HomePoints,HomeWin%,HomeDraw%,HomeLose%,HomeWinRank,HomeDrawRank,HomeLoseRank,AwayPlayed,AwayWin,AwayDraw,AwayLose,AwayGoalsFor,AwayGoalsAgainst,AwayGoalDifference,AwayPoints,AwayWin%,AwayDraw%,AwayLose%,AwayWinRank,AwayDrawRank,AwayLoseRank
1,1992/1993,10,42,15,11,16,40,38,2,56,35.71%,26.19%,38.10%,30,15,2,21,8,6,7,25,20,5,30,38.10%,28.57%,33.33%,30,6,2,21,7,5,9,15,18,-3,26,33.33%,23.81%,42.86%,26,17,5
2,1993/1994,4,42,18,17,7,53,28,25,71,42.86%,40.48%,16.67%,28,1,22,21,10,8,3,25,15,10,38,47.62%,38.10%,14.29%,28,2,13,21,8,9,4,28,13,15,33,38.10%,42.86%,19.05%,22,1,27
3,1994/1995,12,42,13,12,17,52,49,3,51,30.95%,28.57%,40.48%,31,12,1,21,6,9,6,27,21,6,27,28.57%,42.86%,28.57%,31,1,3,21,7,3,11,25,28,-3,24,33.33%,14.29%,52.38%,26,29,2
4,1995/1996,5,38,17,12,9,49,32,17,63,44.74%,31.58%,23.68%,27,3,10,19,10,7,2,30,16,14,37,52.63%,36.84%,10.53%,25,3,14,19,7,5,7,19,16,3,26,36.84%,26.32%,36.84%,23,13,7
5,1996/1997,3,38,19,11,8,62,32,30,68,50.00%,28.95%,21.05%,22,7,14,19,10,5,4,36,18,18,35,52.63%,26.32%,21.05%,25,7,4,19,9,6,4,26,14,12,33,47.37%,31.58%,21.05%,10,11,18
6,1997/1998,1,38,23,9,6,68,33,35,78,60.53%,23.68%,15.79%,7,16,23,19,15,2,2,43,10,33,47,78.95%,10.53%,10.53%,1,27,14,19,8,7,4,25,23,2,31,42.11%,36.84%,21.05%,15,4,18
7,1998/1999,2,38,22,12,4,59,17,42,78,57.89%,31.58%,10.53%,11,3,28,19,14,5,0,34,5,29,47,73.68%,26.32%,0.00%,7,7,29,19,8,7,4,25,12,13,31,42.11%,36.84%,21.05%,15,4,18
8,1999/2000,2,38,22,7,9,73,43,30,73,57.89%,18.42%,23.68%,11,21,10,19,14,3,2,42,17,25,45,73.68%,15.79%,10.53%,7,21,14,19,8,4,7,31,26,5,28,42.11%,21.05%,36.84%,15,18,7
9,2000/2001,2,38,20,10,8,63,38,25,70,52.63%,26.32%,21.05%,18,13,14,19,15,3,1,45,13,32,48,78.95%,15.79%,5.26%,1,21,25,19,5,7,7,18,25,-7,22,26.32%,36.84%,36.84%,29,4,7
10,2001/2002,1,38,26,9,3,79,36,43,87,68.42%,23.68%,7.89%,1,16,29,19,12,4,3,42,25,17,40,63.16%,21.05%,15.79%,17,15,7,19,14,5,0,37,11,26,47,73.68%,26.32%,0.00%,1,13,30
11,2002/2003,2,38,23,9,6,85,42,43,78,60.53%,23.68%,15.79%,7,16,23,19,15,2,2,47,20,27,47,78.95%,10.53%,10.53%,1,27,14,19,8,7,4,38,22,16,31,42.11%,36.84%,21.05%,15,4,18
12,2003/2004,1,38,26,12,0,73,26,47,90,68.42%,31.58%,0.00%,1,3,31,19,15,4,0,40,14,26,49,78.95%,21.05%,0.00%,1,15,29,19,11,8,0,33,12,21,41,57.89%,42.11%,0.00%,4,2,30
13,2004/2005,2,38,25,8,5,87,36,51,83,65.79%,21.05%,13.16%,4,20,27,19,13,5,1,54,19,35,44,68.42%,26.32%,5.26%,14,7,25,19,12,3,4,33,17,16,39,63.16%,15.79%,21.05%,2,24,18
14,2005/2006,4,38,20,7,11,68,31,37,67,52.63%,18.42%,28.95%,18,21,6,19,14,3,2,48,13,35,45,73.68%,15.79%,10.53%,7,21,14,19,6,4,9,20,18,2,22,31.58%,21.05%,47.37%,28,18,3
15,2006/2007,4,38,19,11,8,63,35,28,68,50.00%,28.95%,21.05%,22,7,14,19,12,6,1,43,16,27,42,63.16%,31.58%,5.26%,17,4,25,19,7,5,7,20,19,1,26,36.84%,26.32%,36.84%,23,13,7
16,2007/2008,3,38,24,11,3,74,31,43,83,63.16%,28.95%,7.89%,5,7,29,19,14,5,0,37,11,26,47,73.68%,26.32%,0.00%,7,7,29,19,10,6,3,37,20,17,36,52.63%,31.58%,15.79%,6,11,28
17,2008/2009,4,38,20,12,6,68,37,31,72,52.63%,31.58%,15.79%,18,3,23,19,11,5,3,31,16,15,38,57.89%,26.32%,15.79%,22,7,7,19,9,7,3,37,21,16,34,47.37%,36.84%,15.79%,10,4,28
18,2009/2010,3,38,23,6,9,83,41,42,75,60.53%,15.79%,23.68%,7,27,10,19,15,2,2,48,15,33,47,78.95%,10.53%,10.53%,1,27,14,19,8,4,7,35,26,9,28,42.11%,21.05%,36.84%,15,18,7
19,2010/2011,4,38,19,11,8,72,43,29,68,50.00%,28.95%,21.05%,22,7,14,19,11,4,4,33,15,18,37,57.89%,21.05%,21.05%,22,15,4,19,8,7,4,39,28,11,31,42.11%,36.84%,21.05%,15,4,18
20,2011/2012,3,38,21,7,10,74,49,25,70,55.26%,18.42%,26.32%,15,21,7,19,12,4,3,39,17,22,40,63.16%,21.05%,15.79%,17,15,7,19,9,3,7,35,32,3,30,47.37%,15.79%,36.84%,10,24,7
21,2012/2013,4,38,21,10,7,72,37,35,73,55.26%,26.32%,18.42%,15,13,18,19,11,5,3,47,23,24,38,57.89%,26.32%,15.79%,22,7,7,19,10,5,4,25,14,11,35,52.63%,26.32%,21.05%,6,13,18
22,2013/2014,4,38,24,7,7,68,41,27,79,63.16%,18.42%,18.42%,5,21,18,19,13,5,1,36,11,25,44,68.42%,26.32%,5.26%,14,7,25,19,11,2,6,32,30,2,35,57.89%,10.53%,31.58%,4,30,15
23,2014/2015,3,38,22,9,7,71,36,35,75,57.89%,23.68%,18.42%,11,16,18,19,12,5,2,41,14,27,41,63.16%,26.32%,10.53%,17,7,14,19,10,4,5,30,22,8,34,52.63%,21.05%,26.32%,6,18,17
24,2015/2016,2,38,20,11,7,65,36,29,71,52.63%,28.95%,18.42%,18,7,18,19,12,4,3,31,11,20,40,63.16%,21.05%,15.79%,17,15,7,19,8,7,4,34,25,9,31,42.11%,36.84%,21.05%,15,4,18
25,2016/2017,5,38,23,6,9,77,44,33,75,60.53%,15.79%,23.68%,7,27,10,19,14,3,2,39,16,23,45,73.68%,15.79%,10.53%,7,21,14,19,9,3,7,38,28,10,30,47.37%,15.79%,36.84%,10,24,7
26,2017/2018,6,38,19,6,13,74,51,23,63,50.00%,15.79%,34.21%,22,27,3,19,15,2,2,54,20,34,47,78.95%,10.53%,10.53%,1,27,14,19,4,4,11,20,31,-11,16,21.05%,21.05%,57.89%,30,18,1
27,2018/2019,5,38,21,7,10,73,51,22,70,55.26%,18.42%,26.32%,15,21,7,19,14,3,2,42,16,26,45,73.68%,15.79%,10.53%,7,21,14,19,7,4,8,31,35,-4,25,36.84%,21.05%,42.11%,23,18,6
28,2019/2020,8,38,14,14,10,56,48,8,56,36.84%,36.84%,26.32%,29,2,7,19,10,6,3,36,24,12,36,52.63%,31.58%,15.79%,25,4,7,19,4,8,7,20,24,-4,20,21.05%,42.11%,36.84%,30,2,7
29,2020/2021,8,38,18,7,13,55,39,16,61,47.37%,18.42%,34.21%,26,21,3,19,8,4,7,24,21,3,28,42.11%,21.05%,36.84%,29,15,1,19,10,3,6,31,18,13,33,52.63%,15.79%,31.58%,6,24,15
30,2021/2022,5,38,22,3,13,61,48,13,69,57.89%,7.89%,34.21%,11,31,3,19,13,2,4,35,17,18,41,68.42%,10.53%,21.05%,14,27,4,19,9,1,9,26,31,-5,28,47.37%,5.26%,47.37%,10,31,3
31,2022/2023,2,38,26,6,6,88,43,45,84,68.42%,15.79%,15.79%,1,27,23,19,14,3,2,53,25,28,45,73.68%,15.79%,10.53%,7,21,14,19,12,3,4,35,18,17,39,63.16%,15.79%,21.05%,2,24,18